"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2010-11-27,"Bath","Wasps",6,11,"Away",NA,NA,0,1
2010-11-28,"Harlequins","Yorkshire",51,18,"Home",NA,NA,0,1
2010-12-04,"London Irish","Leicester Tigers",14,23,"Away",NA,NA,0,1
2010-12-05,"Saracens","Harlequins",26,14,"Home",NA,NA,0,1
2010-12-05,"Wasps","Exeter Chiefs",24,12,"Home",NA,NA,0,1
2010-12-26,"Saracens","Wasps",13,6,"Home",NA,NA,0,1
2010-12-27,"Leicester Tigers","Sale Sharks",54,21,"Home",NA,NA,0,1
2010-12-27,"Harlequins","London Irish",28,18,"Home",NA,NA,0,1
2011-01-01,"Yorkshire","Gloucester",15,13,"Home",NA,NA,0,1
2011-01-01,"Northampton Saints","Harlequins",13,16,"Away",NA,NA,0,1
2011-01-01,"London Irish","Bath",24,25,"Away",NA,NA,0,1
2011-01-02,"Sale Sharks","Saracens",28,22,"Home",NA,NA,0,1
2011-01-02,"Wasps","Newcastle Falcons",33,16,"Home",NA,NA,0,1
2011-01-02,"Exeter Chiefs","Leicester Tigers",15,22,"Away",NA,NA,0,1
2011-01-07,"Newcastle Falcons","Sale Sharks",19,19,"Draw",NA,NA,0,1
2011-01-08,"Bath","Yorkshire",16,13,"Home",NA,NA,0,1
2011-01-08,"Harlequins","Wasps",17,10,"Home",NA,NA,0,1
2011-01-08,"Gloucester","Exeter Chiefs",37,23,"Home",NA,NA,0,1
2011-01-08,"Leicester Tigers","Northampton Saints",27,16,"Home",NA,NA,0,1
2011-01-09,"Saracens","London Irish",12,6,"Home",NA,NA,0,1
2011-02-11,"Sale Sharks","Bath",7,19,"Away",NA,NA,0,1
2011-02-12,"Northampton Saints","Saracens",15,29,"Away",NA,NA,0,1
2011-02-12,"London Irish","Newcastle Falcons",23,14,"Home",NA,NA,0,1
2011-02-12,"Exeter Chiefs","Harlequins",20,6,"Home",NA,NA,0,1
